                             Strategy A Simulation #1 of 10
-----------------------------------------------------------------------------------------
                      |      n = 1,000 |     n = 10,000 |    n = 100,000 |  n = 1,000,000
                      |  Count |     % |  Count |     % |  Count |     % |  Count |     %
-----------------------------------------------------------------------------------------
                      |      n = 1,000 |     n = 10,000 |    n = 100,000 |  n = 1,000,000
                      |  Count |     % |  Count |     % |  Count |     % |  Count |     %
Go                    |     31 | 3.10% |    339 | 3.39% |   3455 | 3.45% |  34143 | 3.41% 
Mediterranean Avenue  |     25 | 2.50% |    245 | 2.45% |   2354 | 2.35% |  23804 | 2.38% 
Community Chest       |     23 | 2.30% |    248 | 2.48% |   2402 | 2.40% |  24155 | 2.42% 
Baltic Avenue         |     11 | 1.10% |    254 | 2.54% |   2369 | 2.37% |  23873 | 2.39% 
Income Tax            |     33 | 3.30% |    292 | 2.92% |   2580 | 2.58% |  26515 | 2.65% 
Reading Railroad      |     41 | 4.10% |    304 | 3.04% |   3315 | 3.32% |  33400 | 3.34% 
Oriental Avenue       |     28 | 2.80% |    249 | 2.49% |   2597 | 2.60% |  25503 | 2.55% 
Chance                |     23 | 2.30% |    249 | 2.49% |   2694 | 2.69% |  26083 | 2.61% 
Vermont Avenue        |     25 | 2.50% |    285 | 2.85% |   2638 | 2.64% |  26121 | 2.61% 
Connecticut Avenue    |     19 | 1.90% |    276 | 2.76% |   2631 | 2.63% |  25810 | 2.58% 
Jail                  |     57 | 5.70% |    562 | 5.62% |   5946 | 5.95% |  60237 | 6.02% 
St. Charles Place     |     36 | 3.60% |    289 | 2.89% |   3018 | 3.02% |  30674 | 3.07% 
Electric Company      |     29 | 2.90% |    295 | 2.95% |   2822 | 2.82% |  28411 | 2.84% 
States Avenue         |     22 | 2.20% |    238 | 2.38% |   2510 | 2.51% |  24929 | 2.49% 
Virginia Avenue       |     30 | 3.00% |    265 | 2.65% |   2477 | 2.48% |  24743 | 2.47% 
Pennsylvania Railroad |     29 | 2.90% |    260 | 2.60% |   2861 | 2.86% |  28405 | 2.84% 
St. James Place       |     21 | 2.10% |    285 | 2.85% |   2566 | 2.57% |  25247 | 2.52% 
Community Chest       |     31 | 3.10% |    257 | 2.57% |   2570 | 2.57% |  25159 | 2.52% 
Tennessee Avenue      |     21 | 2.10% |    265 | 2.65% |   2576 | 2.58% |  25892 | 2.59% 
New York Avenue       |     23 | 2.30% |    237 | 2.37% |   2673 | 2.67% |  27467 | 2.75% 
Free Parking          |     26 | 2.60% |    287 | 2.87% |   2567 | 2.57% |  25601 | 2.56% 
Kentucky Avenue       |     28 | 2.80% |    246 | 2.46% |   2499 | 2.50% |  25589 | 2.56% 
Chance                |     13 | 1.30% |    241 | 2.41% |   2454 | 2.45% |  25359 | 2.54% 
Indiana Avenue        |     33 | 3.30% |    247 | 2.47% |   2546 | 2.55% |  25378 | 2.54% 
Illinois Avenue       |     31 | 3.10% |    294 | 2.94% |   2998 | 3.00% |  29920 | 2.99% 
B. & O. Railroad      |     26 | 2.60% |    297 | 2.97% |   2846 | 2.85% |  28465 | 2.85% 
Atlantic Avenue       |     23 | 2.30% |    264 | 2.64% |   2502 | 2.50% |  24835 | 2.48% 
Ventnor Avenue        |     29 | 2.90% |    246 | 2.46% |   2488 | 2.49% |  24669 | 2.47% 
Water Works           |     21 | 2.10% |    248 | 2.48% |   2673 | 2.67% |  26451 | 2.65% 
Marvin Gardens        |     30 | 3.00% |    238 | 2.38% |   2392 | 2.39% |  24460 | 2.45% 
Go To Jail            |     23 | 2.30% |    219 | 2.19% |   2405 | 2.41% |  24597 | 2.46% 
Pacific Avenue        |     28 | 2.80% |    260 | 2.60% |   2478 | 2.48% |  24900 | 2.49% 
North Carolina Avenue |     33 | 3.30% |    251 | 2.51% |   2510 | 2.51% |  24890 | 2.49% 
Community Chest       |     23 | 2.30% |    294 | 2.94% |   2658 | 2.66% |  26485 | 2.65% 
Pennsylvania Avenue   |     26 | 2.60% |    232 | 2.32% |   2447 | 2.45% |  24931 | 2.49% 
Short Line            |     32 | 3.20% |    278 | 2.78% |   2572 | 2.57% |  24974 | 2.50% 
Chance                |     26 | 2.60% |    238 | 2.38% |   2517 | 2.52% |  24520 | 2.45% 
Park Place            |     22 | 2.20% |    225 | 2.25% |   2483 | 2.48% |  24707 | 2.47% 
Luxury Tax            |     25 | 2.50% |    225 | 2.25% |   2494 | 2.49% |  24620 | 2.46% 
Boardwalk             |     17 | 1.70% |    284 | 2.84% |   2927 | 2.93% |  29209 | 2.92% 


