                             Strategy A Simulation #1 of 10
-----------------------------------------------------------------------------------------
                      |      n = 1,000 |     n = 10,000 |    n = 100,000 |  n = 1,000,000
                      |  Count |     % |  Count |     % |  Count |     % |  Count |     %
St. Charles Place     |     34 | 3.40% |    304 | 3.04% |   3077 | 3.08% |  30627 | 3.06% 
Electric Company      |     27 | 2.70% |    280 | 2.80% |   2874 | 2.87% |  28748 | 2.87% 
States Avenue         |     25 | 2.50% |    256 | 2.56% |   2530 | 2.53% |  25002 | 2.50% 
Virginia Avenue       |     27 | 2.70% |    237 | 2.37% |   2364 | 2.36% |  24562 | 2.46% 
Pennsylvania Railroad |     19 | 1.90% |    267 | 2.67% |   2860 | 2.86% |  28519 | 2.85% 
St. James Place       |     29 | 2.90% |    269 | 2.69% |   2502 | 2.50% |  24966 | 2.50% 
Community Chest       |     29 | 2.90% |    253 | 2.53% |   2534 | 2.53% |  25431 | 2.54% 
Tennessee Avenue      |     25 | 2.50% |    275 | 2.75% |   2537 | 2.54% |  25663 | 2.57% 
New York Avenue       |     30 | 3.00% |    260 | 2.60% |   2722 | 2.72% |  27645 | 2.76% 
Free Parking          |     25 | 2.50% |    256 | 2.56% |   2575 | 2.57% |  25716 | 2.57% 
Kentucky Avenue       |     22 | 2.20% |    246 | 2.46% |   2584 | 2.58% |  25626 | 2.56% 
Chance                |     28 | 2.80% |    241 | 2.41% |   2567 | 2.57% |  25457 | 2.55% 
Indiana Avenue        |     30 | 3.00% |    259 | 2.59% |   2536 | 2.54% |  25366 | 2.54% 
Illinois Avenue       |     28 | 2.80% |    281 | 2.81% |   3066 | 3.07% |  30069 | 3.01% 
B. & O. Railroad      |     26 | 2.60% |    301 | 3.01% |   2771 | 2.77% |  28211 | 2.82% 
Atlantic Avenue       |     29 | 2.90% |    264 | 2.64% |   2462 | 2.46% |  24776 | 2.48% 
Ventnor Avenue        |     22 | 2.20% |    273 | 2.73% |   2501 | 2.50% |  24737 | 2.47% 
Water Works           |     24 | 2.40% |    252 | 2.52% |   2643 | 2.64% |  26436 | 2.64% 
Marvin Gardens        |     33 | 3.30% |    238 | 2.38% |   2433 | 2.43% |  24145 | 2.41% 
Go To Jail            |     17 | 1.70% |    252 | 2.52% |   2410 | 2.41% |  24580 | 2.46% 
Pacific Avenue        |     28 | 2.80% |    239 | 2.39% |   2487 | 2.49% |  24731 | 2.47% 
North Carolina Avenue |     20 | 2.00% |    268 | 2.68% |   2492 | 2.49% |  24872 | 2.49% 
Community Chest       |     30 | 3.00% |    269 | 2.69% |   2620 | 2.62% |  26595 | 2.66% 
Pennsylvania Avenue   |     25 | 2.50% |    217 | 2.17% |   2502 | 2.50% |  24976 | 2.50% 
Short Line            |     25 | 2.50% |    252 | 2.52% |   2547 | 2.55% |  25153 | 2.52% 
Chance                |     24 | 2.40% |    237 | 2.37% |   2520 | 2.52% |  24768 | 2.48% 
Park Place            |     20 | 2.00% |    265 | 2.65% |   2453 | 2.45% |  24610 | 2.46% 
Luxury Tax            |     25 | 2.50% |    254 | 2.54% |   2444 | 2.44% |  24586 | 2.46% 
Boardwalk             |     29 | 2.90% |    291 | 2.91% |   2908 | 2.91% |  29095 | 2.91% 


                             Strategy A Simulation #6 of 10
-----------------------------------------------------------------------------------------
                      |      n = 1,000 |     n = 10,000 |    n = 100,000 |  n = 1,000,000
