                             Strategy A Simulation #1 of 10
-----------------------------------------------------------------------------------------
                      |      n = 1,000 |     n = 10,000 |    n = 100,000 |  n = 1,000,000
                      |  Count |     % |  Count |     % |  Count |     % |  Count |     %
                             Strategy A Simulation #5 of 10
-----------------------------------------------------------------------------------------
                      |      n = 1,000 |     n = 10,000 |    n = 100,000 |  n = 1,000,000
                      |  Count |     % |  Count |     % |  Count |     % |  Count |     %
Go                    |     32 | 3.20% |    347 | 3.47% |   3480 | 3.48% |  33848 | 3.38% 
Mediterranean Avenue  |     25 | 2.50% |    237 | 2.37% |   2338 | 2.34% |  23844 | 2.38% 
Community Chest       |     21 | 2.10% |    225 | 2.25% |   2335 | 2.34% |  23882 | 2.39% 
Baltic Avenue         |     26 | 2.60% |    222 | 2.22% |   2384 | 2.38% |  24159 | 2.42% 
Income Tax            |     21 | 2.10% |    281 | 2.81% |   2579 | 2.58% |  26309 | 2.63% 
Reading Railroad      |     30 | 3.00% |    344 | 3.44% |   3411 | 3.41% |  33579 | 3.36% 
Oriental Avenue       |     24 | 2.40% |    264 | 2.64% |   2609 | 2.61% |  25758 | 2.58% 
Chance                |     30 | 3.00% |    244 | 2.44% |   2751 | 2.75% |  26257 | 2.63% 
Vermont Avenue        |     28 | 2.80% |    248 | 2.48% |   2610 | 2.61% |  25931 | 2.59% 
Connecticut Avenue    |     26 | 2.60% |    288 | 2.88% |   2500 | 2.50% |  26206 | 2.62% 
Jail                  |     68 | 6.80% |    603 | 6.03% |   6031 | 6.03% |  60395 | 6.04% 
St. Charles Place     |     33 | 3.30% |    295 | 2.95% |   3060 | 3.06% |  30152 | 3.02% 
Electric Company      |     25 | 2.50% |    287 | 2.87% |   2784 | 2.78% |  28523 | 2.85% 
States Avenue         |     21 | 2.10% |    259 | 2.59% |   2449 | 2.45% |  24981 | 2.50% 
Virginia Avenue       |     19 | 1.90% |    244 | 2.44% |   2487 | 2.49% |  24859 | 2.49% 
