                             Strategy A Simulation #1 of 10
-----------------------------------------------------------------------------------------
                      |      n = 1,000 |     n = 10,000 |    n = 100,000 |  n = 1,000,000
                      |  Count |     % |  Count |     % |  Count |     % |  Count |     %
-----------------------------------------------------------------------------------------
                      |      n = 1,000 |     n = 10,000 |    n = 100,000 |  n = 1,000,000
                      |  Count |     % |  Count |     % |  Count |     % |  Count |     %
Go                    |     36 | 3.60% |    339 | 3.39% |   3417 | 3.42% |  33948 | 3.39% 
Mediterranean Avenue  |     22 | 2.20% |    238 | 2.38% |   2340 | 2.34% |  23998 | 2.40% 
Community Chest       |     20 | 2.00% |    250 | 2.50% |   2412 | 2.41% |  23940 | 2.39% 
Baltic Avenue         |     26 | 2.60% |    225 | 2.25% |   2376 | 2.38% |  24023 | 2.40% 
Income Tax            |     31 | 3.10% |    274 | 2.74% |   2630 | 2.63% |  26345 | 2.63% 
Reading Railroad      |     28 | 2.80% |    349 | 3.49% |   3323 | 3.32% |  33542 | 3.35% 
Oriental Avenue       |     26 | 2.60% |    238 | 2.38% |   2555 | 2.56% |  25835 | 2.58% 
Chance                |     38 | 3.80% |    250 | 2.50% |   2614 | 2.61% |  26133 | 2.61% 
Vermont Avenue        |     22 | 2.20% |    274 | 2.74% |   2596 | 2.60% |  26146 | 2.61% 
Connecticut Avenue    |     28 | 2.80% |    260 | 2.60% |   2627 | 2.63% |  25690 | 2.57% 
Jail                  |     61 | 6.10% |    610 | 6.10% |   6095 | 6.10% |  60720 | 6.07% 
St. Charles Place     |     29 | 2.90% |    289 | 2.89% |   3133 | 3.13% |  30468 | 3.05% 
Electric Company      |     27 | 2.70% |    299 | 2.99% |   2801 | 2.80% |  28283 | 2.83% 
States Avenue         |     21 | 2.10% |    242 | 2.42% |   2486 | 2.49% |  24987 | 2.50% 
Virginia Avenue       |     32 | 3.20% |    257 | 2.57% |   2435 | 2.44% |  24747 | 2.47% 
Pennsylvania Railroad |     28 | 2.80% |    279 | 2.79% |   2799 | 2.80% |  28504 | 2.85% 
St. James Place       |     25 | 2.50% |    231 | 2.31% |   2459 | 2.46% |  25424 | 2.54% 
Community Chest       |     22 | 2.20% |    262 | 2.62% |   2647 | 2.65% |  25420 | 2.54% 
Tennessee Avenue      |     26 | 2.60% |    261 | 2.61% |   2577 | 2.58% |  25720 | 2.57% 
New York Avenue       |     32 | 3.20% |    269 | 2.69% |   2728 | 2.73% |  27305 | 2.73% 
Free Parking          |     24 | 2.40% |    249 | 2.49% |   2551 | 2.55% |  25631 | 2.56% 
Kentucky Avenue       |     29 | 2.90% |    270 | 2.70% |   2542 | 2.54% |  25503 | 2.55% 
Chance                |     21 | 2.10% |    270 | 2.70% |   2571 | 2.57% |  25410 | 2.54% 
Indiana Avenue        |     30 | 3.00% |    238 | 2.38% |   2501 | 2.50% |  25464 | 2.55% 
Illinois Avenue       |     25 | 2.50% |    300 | 3.00% |   2988 | 2.99% |  29931 | 2.99% 
B. & O. Railroad      |     25 | 2.50% |    266 | 2.66% |   2781 | 2.78% |  28060 | 2.81% 
Atlantic Avenue       |     32 | 3.20% |    238 | 2.38% |   2442 | 2.44% |  24917 | 2.49% 
Ventnor Avenue        |     26 | 2.60% |    273 | 2.73% |   2535 | 2.54% |  24707 | 2.47% 
Water Works           |     28 | 2.80% |    259 | 2.59% |   2660 | 2.66% |  26127 | 2.61% 
Marvin Gardens        |     20 | 2.00% |    249 | 2.49% |   2443 | 2.44% |  24358 | 2.44% 
Go To Jail            |     29 | 2.90% |    250 | 2.50% |   2484 | 2.48% |  24730 | 2.47% 
Pacific Avenue        |     19 | 1.90% |    245 | 2.45% |   2428 | 2.43% |  24703 | 2.47% 
North Carolina Avenue |     24 | 2.40% |    242 | 2.42% |   2573 | 2.57% |  25071 | 2.51% 
Community Chest       |     27 | 2.70% |    265 | 2.65% |   2580 | 2.58% |  26570 | 2.66% 
Pennsylvania Avenue   |     24 | 2.40% |    248 | 2.48% |   2451 | 2.45% |  24819 | 2.48% 
Short Line            |     25 | 2.50% |    284 | 2.84% |   2550 | 2.55% |  25309 | 2.53% 
Chance                |     25 | 2.50% |    248 | 2.48% |   2414 | 2.41% |  24657 | 2.47% 
Park Place            |     25 | 2.50% |    234 | 2.34% |   2518 | 2.52% |  24707 | 2.47% 
Luxury Tax            |     23 | 2.30% |    235 | 2.35% |   2479 | 2.48% |  24200 | 2.42% 
Boardwalk             |     32 | 3.20% |    305 | 3.05% |   3006 | 3.01% |  29380 | 2.94% 


